iso3,first_anaemia_policies_year,first_anaemia_programmes_year,first_anaemia_mechanisms_year,first_anaemia_any_file_year,first_fortification_policies_year,first_fortification_programmes_year,first_fortification_mechanisms_year,first_fortification_any_file_year,gfdx_wheat_mandate_year,gfdx_wheat_mandate_status,gfdx_maize_mandate_year,gfdx_maize_mandate_status,first_anaemia_policy_year,subregion,geo_rugged,geo_tropical,geo_dist_coast
AGO,2012.0,,,2012.0,2008.0,,,2008.0,,UNKNOWN,,UNKNOWN,2012.0,ESA,0.858,44.346,0.428
BDI,2003.0,,,2003.0,1992.0,,,1992.0,2015.0,YES,2015.0,YES,2003.0,ESA,1.78,75.354,0.906
BEN,2009.0,,,2009.0,2009.0,,,2009.0,2010.0,YES,,UNKNOWN,2009.0,WCA,0.141,97.489,0.367
BFA,1999.0,,,1999.0,1999.0,,,1999.0,2012.0,YES,,UNKNOWN,1999.0,WCA,0.236,49.82,0.735
BWA,1996.0,,,1996.0,1996.0,,,1996.0,,UNKNOWN,,UNKNOWN,1996.0,ESA,0.181,0.0,0.764
CAF,,,,,1995.0,,,1995.0,,UNKNOWN,,UNKNOWN,,WCA,0.197,97.382,1.081
CIV,1994.0,2005.0,,1994.0,1994.0,2005.0,,1994.0,,,,,1994.0,WCA,0.224,100.0,0.284
CMR,1996.0,,,1996.0,1991.0,,,1991.0,2011.0,YES,,UNKNOWN,1996.0,WCA,0.515,94.12,0.389
COD,1994.0,2009.0,,1994.0,1994.0,,1991.0,1991.0,,UNKNOWN,,UNKNOWN,1994.0,WCA,0.443,94.866,1.016
COG,1996.0,,,1996.0,2004.0,,2016.0,2004.0,2013.0,YES,,UNKNOWN,1996.0,WCA,0.152,100.0,0.457
COM,2012.0,,,2012.0,2018.0,,1998.0,1998.0,,UNKNOWN,,UNKNOWN,2012.0,ESA,3.328,100.0,0.003
CPV,2014.0,,,2014.0,2002.0,,2003.0,2002.0,2014.0,YES,,UNKNOWN,2014.0,WCA,2.367,0.0,0.004
