dhs_country_code,country_name,survey_year,survey_type,survey_id,anaemia_any_women_pct
AL,Albania,2008,DHS,AL2008DHS,19.0
AL,Albania,2017,DHS,AL2017DHS,22.7
AM,Armenia,2000,DHS,AM2000DHS,12.4
AM,Armenia,2005,DHS,AM2005DHS,24.6
AM,Armenia,2016,DHS,AM2016DHS,13.4
AZ,Azerbaijan,2006,DHS,AZ2006DHS,37.0
BD,Bangladesh,2011,DHS,BD2011DHS,42.4
BF,Burkina Faso,2003,DHS,BF2003DHS,53.7
BF,Burkina Faso,2010,DHS,BF2010DHS,48.8
BF,Burkina Faso,2021,DHS,BF2021DHS,55.6
BJ,Benin,2001,DHS,BJ2001DHS,64.3
BJ,Benin,2006,DHS,BJ2006DHS,61.3
BJ,Benin,2012,DHS,BJ2012DHS,41.4
BJ,Benin,2017,DHS,BJ2017DHS,57.7
BO,Bolivia,2003,DHS,BO2003DHS,33.1
BO,Bolivia,2008,DHS,BO2008DHS,38.3
BU,Burundi,2010,DHS,BU2010DHS,18.5
BU,Burundi,2016,DHS,BU2016DHS,39.3
CD,Congo Democratic Republic,2007,DHS,CD2007DHS,52.9
CD,Congo Democratic Republic,2013,DHS,CD2013DHS,38.4
CD,Congo Democratic Republic,2023,DHS,CD2023DHS,41.0
CG,Congo,2005,DHS,CG2005DHS,57.0
CG,Congo,2011,DHS,CG2011DHS,54.2
CI,Cote d'Ivoire,2012,DHS,CI2012DHS,53.7
CI,Cote d'Ivoire,2021,DHS,CI2021DHS,60.5
CM,Cameroon,2004,DHS,CM2004DHS,44.9
CM,Cameroon,2011,DHS,CM2011DHS,39.5
CM,Cameroon,2018,DHS,CM2018DHS,39.7
EG,Egypt,2000,DHS,EG2000DHS,27.7
EG,Egypt,2005,DHS,EG2005DHS,39.4
EG,Egypt,2014,DHS,EG2014DHS,25.2
ET,Ethiopia,2005,DHS,ET2005DHS,26.6
ET,Ethiopia,2011,DHS,ET2011DHS,16.6
ET,Ethiopia,2016,DHS,ET2016DHS,23.6
GA,Gabon,2012,DHS,GA2012DHS,60.6
GA,Gabon,2019,DHS,GA2019DHS,64.9
GH,Ghana,2003,DHS,GH2003DHS,44.6
GH,Ghana,2008,DHS,GH2008DHS,58.7
GH,Ghana,2014,DHS,GH2014DHS,42.4
GH,Ghana,2022,DHS,GH2022DHS,41.1
GM,Gambia,2013,DHS,GM2013DHS,60.3
GM,Gambia,2019,DHS,GM2019DHS,44.3
GN,Guinea,2005,DHS,GN2005DHS,53.3
GN,Guinea,2012,DHS,GN2012DHS,49.1
GN,Guinea,2018,DHS,GN2018DHS,45.8
GU,Guatemala,2015,DHS,GU2015DHS,13.6
GY,Guyana,2009,DHS,GY2009DHS,37.4
HN,Honduras,2005,DHS,HN2005DHS,18.7
HN,Honduras,2011,DHS,HN2011DHS,15.1
HT,Haiti,2000,DHS,HT2000DHS,55.1
HT,Haiti,2006,DHS,HT2006DHS,45.8
HT,Haiti,2012,DHS,HT2012DHS,49.3
HT,Haiti,2016,DHS,HT2016DHS,49.0
IA,India,2006,DHS,IA2006DHS,55.3
IA,India,2015,DHS,IA2015DHS,53.1
IA,India,2020,DHS,IA2020DHS,57.0
JO,Jordan,2002,DHS,JO2002DHS,26.4
JO,Jordan,2009,DHS,JO2009DHS,25.7
JO,Jordan,2012,DHS,JO2012DHS,33.5
JO,Jordan,2017,DHS,JO2017DHS,42.6
JO,Jordan,2023,DHS,JO2023DHS,32.3
KH,Cambodia,2000,DHS,KH2000DHS,58.8
KH,Cambodia,2005,DHS,KH2005DHS,46.7
KH,Cambodia,2010,DHS,KH2010DHS,44.4
KH,Cambodia,2014,DHS,KH2014DHS,45.4
KY,Kyrgyz Republic,2012,DHS,KY2012DHS,35.2
LB,Liberia,2019,DHS,LB2019DHS,44.5
LS,Lesotho,2004,DHS,LS2004DHS,32.9
LS,Lesotho,2009,DHS,LS2009DHS,26.3
LS,Lesotho,2014,DHS,LS2014DHS,27.3
LS,Lesotho,2023,DHS,LS2023DHS,38.8
MB,Moldova,2005,DHS,MB2005DHS,27.9
MD,Madagascar,2004,DHS,MD2004DHS,44.1
MD,Madagascar,2008,DHS,MD2008DHS,35.3
MD,Madagascar,2021,DHS,MD2021DHS,26.4
ML,Mali,2001,DHS,ML2001DHS,62.9
ML,Mali,2006,DHS,ML2006DHS,60.7
