iso3,name,sdg_region,anaemia,anaemia_year,maize_flour_code,rice_code,wheat_flour_code,mandate_class,wheat_mandate,folic_in_wheat_standard,iron_in_wheat_standard,wheat_standard_documented,anaemia_tier
GAB,Gabon,Sub-Saharan Africa,59.9,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
MLI,Mali,Sub-Saharan Africa,56.5,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
MRT,Mauritania,Sub-Saharan Africa,54.5,2023.0,3,3,1,grain mandate,True,False,False,False,severe (≥40%)
IND,India,Central and Southern Asia,53.7,2023.0,3,2,2,no grain mandate,False,True,True,True,severe (≥40%)
CIV,Côte d'Ivoire,Sub-Saharan Africa,51.4,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
BEN,Benin,Sub-Saharan Africa,50.0,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
NER,Niger,Sub-Saharan Africa,47.1,2023.0,2,2,1,grain mandate,True,True,True,True,severe (≥40%)
MOZ,Mozambique,Sub-Saharan Africa,47.0,2023.0,1,2,1,grain mandate,True,True,True,True,severe (≥40%)
COG,Congo,Sub-Saharan Africa,46.7,2023.0,3,3,1,grain mandate,True,False,True,True,severe (≥40%)
PAK,Pakistan,Central and Southern Asia,46.5,2023.0,2,2,3,no grain mandate,False,True,True,True,severe (≥40%)
TCD,Chad,Sub-Saharan Africa,46.5,2023.0,1,3,1,grain mandate,True,True,True,True,severe (≥40%)
SOM,Somalia,Sub-Saharan Africa,46.2,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
GMB,Gambia,Sub-Saharan Africa,46.1,2023.0,2,2,1,grain mandate,True,True,True,True,severe (≥40%)
HTI,Haiti,Latin America and the Caribbean,45.9,2023.0,3,3,1,grain mandate,True,False,False,False,severe (≥40%)
GNB,Guinea-Bissau,Sub-Saharan Africa,45.7,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
GIN,Guinea,Sub-Saharan Africa,45.7,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
AFG,Afghanistan,Central and Southern Asia,45.4,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
SLE,Sierra Leone,Sub-Saharan Africa,44.6,2023.0,3,3,2,no grain mandate,False,True,True,True,severe (≥40%)
BFA,Burkina Faso,Sub-Saharan Africa,44.3,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
AGO,Angola,Sub-Saharan Africa,43.8,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
CAF,Central African Republic,Sub-Saharan Africa,43.4,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
MDV,Maldives,Central and Southern Asia,43.4,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
SEN,Senegal,Sub-Saharan Africa,43.1,2023.0,2,2,1,grain mandate,True,True,True,True,severe (≥40%)
LBR,Liberia,Sub-Saharan Africa,42.5,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
TGO,Togo,Sub-Saharan Africa,41.5,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
GNQ,Equatorial Guinea,Sub-Saharan Africa,41.3,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
CPV,Cabo Verde,Sub-Saharan Africa,40.6,2023.0,3,3,1,grain mandate,True,True,True,True,severe (≥40%)
COD,Democratic Republic of the Congo,Sub-Saharan Africa,40.0,2023.0,3,3,3,status unknown,False,False,False,False,severe (≥40%)
MMR,Myanmar,Eastern and South-Eastern Asia,39.7,2023.0,3,2,3,no grain mandate,False,False,False,False,moderate (30–39.9%)
STP,Sao Tome and Principe,Sub-Saharan Africa,39.7,2023.0,3,3,3,status unknown,False,False,False,False,moderate (30–39.9%)
BDI,Burundi,Sub-Saharan Africa,39.0,2023.0,1,3,1,grain mandate,True,True,True,True,moderate (30–39.9%)
