iso3,indicator,year,value,lower,upper
AGO,Infant mortality rate,2000,108.322752937004,95.3581284385448,122.966735474921
AGO,Infant mortality rate,2001,103.775612392397,91.0719251882766,118.634075261146
AGO,Infant mortality rate,2002,98.4400670788058,86.2221386082797,113.073666303052
AGO,Infant mortality rate,2003,92.4549322393192,80.6266895848593,106.480078691841
AGO,Infant mortality rate,2004,85.8441459408687,74.4679893396472,99.0328207944008
AGO,Infant mortality rate,2005,78.9232081619222,67.9944098102079,91.452818676669
AGO,Infant mortality rate,2006,72.2176268403911,61.6000414610737,84.1476286076968
AGO,Infant mortality rate,2007,65.9850188462117,55.3952779391994,77.538736295963
AGO,Infant mortality rate,2008,60.3111962687055,49.863421051265,71.8115833721043
AGO,Infant mortality rate,2009,55.4399513204515,45.0329549935378,66.7988722305924
AGO,Infant mortality rate,2010,51.144844359391,41.2122053553192,62.2965875851236
AGO,Infant mortality rate,2011,47.5584840925343,37.9746642050679,58.2115548739118
AGO,Infant mortality rate,2012,44.5681576975903,35.5117349316858,54.9127930611822
AGO,Infant mortality rate,2013,42.1998717422874,33.7467795863823,52.1577132616666
AGO,Infant mortality rate,2014,40.2994941910145,32.3639534582665,49.7648476714301
AGO,Infant mortality rate,2015,38.7650177969986,31.3423495579519,47.8084081599874
AGO,Infant mortality rate,2016,37.6285132981631,30.4463984252981,46.2791084474822
AGO,Infant mortality rate,2017,36.7169984745258,29.6541366827575,45.4025550456827
AGO,Infant mortality rate,2018,35.9894124304547,28.8606710908814,44.8639258179294
AGO,Infant mortality rate,2019,35.4516982142562,27.9312773801601,44.9834679494728
AGO,Infant mortality rate,2020,34.9118527254169,26.746921673136,45.5739548747761
AGO,Infant mortality rate,2021,34.4180092575293,25.4549789696636,46.5954827660185
AGO,Infant mortality rate,2022,33.73310306593,24.2311095144314,47.6722753490036
AGO,Infant mortality rate,2023,32.9976750307159,23.0361459337675,48.7283480489478
AGO,Infant mortality rate,2024,32.1294328718826,21.8651233631278,49.715910514865
BDI,Infant mortality rate,2000,88.4476314578497,80.1818162124831,97.9174619996981
BDI,Infant mortality rate,2001,86.0895142320834,77.7912928424579,95.5466423280348
BDI,Infant mortality rate,2002,83.543602501304,75.1965728942001,93.0498356107159
BDI,Infant mortality rate,2003,80.6307546845899,72.3848794220854,90.178729173522
BDI,Infant mortality rate,2004,77.3895346756892,69.1762471092667,86.9008771151085
BDI,Infant mortality rate,2005,73.8032561844284,65.7606845341791,82.9696226936176
BDI,Infant mortality rate,2006,69.8859027840232,62.0482289339105,78.7658310081685
BDI,Infant mortality rate,2007,65.9572480706719,58.3405275878402,74.5627520568526
BDI,Infant mortality rate,2008,62.1468902245085,54.5648346071334,70.7148240833743
BDI,Infant mortality rate,2009,58.4481992046319,50.9351563720019,67.231488332773
BDI,Infant mortality rate,2010,55.1188210783669,47.5232555027026,64.0148004983592
BDI,Infant mortality rate,2011,52.0042229297512,44.3100377056999,61.1189546149105
BDI,Infant mortality rate,2012,49.0954811506362,40.9252526969202,58.8982682727399
BDI,Infant mortality rate,2013,46.4084673755814,37.5830577926436,57.1145125379676
BDI,Infant mortality rate,2014,43.9367556934922,34.3686572696031,55.8729594533465
BDI,Infant mortality rate,2015,41.8449353398554,31.7464228855814,54.8907702385996
BDI,Infant mortality rate,2016,40.0000201956211,29.3190132228465,54.0531504247475
BDI,Infant mortality rate,2017,38.3643374153383,27.2154633494859,53.6178190044188
BDI,Infant mortality rate,2018,37.0095064272868,25.3389800781559,53.4021693128105
BDI,Infant mortality rate,2019,35.7178883658276,23.637687755751,53.1350108363846
BDI,Infant mortality rate,2020,34.6203098823896,21.9604195598935,53.0227834433651
BDI,Infant mortality rate,2021,33.4871147541243,20.4966082503527,53.0035371388744
BDI,Infant mortality rate,2022,32.3500124605404,19.2789791756654,52.8826861608449
BDI,Infant mortality rate,2023,31.4159299009932,18.2437946198305,53.1683168712052
BDI,Infant mortality rate,2024,30.498936211752,17.2731654215705,52.831139035583
BEN,Infant mortality rate,2000,79.6943623961151,74.4082370312873,85.2886725864059
BEN,Infant mortality rate,2001,77.8201282102252,72.6095889018993,83.3588966810975
BEN,Infant mortality rate,2002,76.0239876295865,70.8444046081127,81.5158226172821
BEN,Infant mortality rate,2003,74.2680965280793,69.1111933926793,79.7124235937321
BEN,Infant mortality rate,2004,72.5833048299837,67.4057145833783,78.0382954155104
BEN,Infant mortality rate,2005,70.9749762531195,65.8038326879611,76.4248519771542
BEN,Infant mortality rate,2006,69.3987711253363,64.2808337425057,74.8224590699045
BEN,Infant mortality rate,2007,67.9065994987542,62.7964875422858,73.4079671169546
BEN,Infant mortality rate,2008,66.5252646223799,61.3555056722318,72.0708068425406
BEN,Infant mortality rate,2009,65.1426512172874,59.8936723989161,70.7397177930143
BEN,Infant mortality rate,2010,63.7613448958231,58.4534331182241,69.3978494916791
BEN,Infant mortality rate,2011,62.4295642881258,57.0302740715661,68.2133903864352
BEN,Infant mortality rate,2012,61.1254596186975,55.5677429914858,67.0647307072641
BEN,Infant mortality rate,2013,59.7763247079179,54.1014319088392,65.9478414873291
BEN,Infant mortality rate,2014,58.3933208713627,52.6043977761771,64.7176323060134
BEN,Infant mortality rate,2015,57.0490430698371,51.0469615131347,63.6778058399319
BEN,Infant mortality rate,2016,55.7764779037354,49.5324432608424,62.7012695281701
BEN,Infant mortality rate,2017,54.4259837040981,47.8931075599661,61.6543018002731
BEN,Infant mortality rate,2018,53.140715737322,46.0910237590824,60.9626489755207
BEN,Infant mortality rate,2019,51.8081194318144,44.0352966044242,60.6575463784973
BEN,Infant mortality rate,2020,50.4200570187512,41.9754781837605,60.4094065831999
BEN,Infant mortality rate,2021,49.1281878030905,39.7421287551894,60.5581019693685
BEN,Infant mortality rate,2022,47.7867374991129,37.5694789169636,60.899881848303
BEN,Infant mortality rate,2023,46.4802711736647,35.4716608110704,61.1875981311883
BEN,Infant mortality rate,2024,45.1851786369849,33.3313041298766,61.6916965579636
BFA,Infant mortality rate,2000,92.4092912334951,85.8646372196567,99.6194111906902
BFA,Infant mortality rate,2001,90.3869404580594,83.8828614801624,97.6491826163561
BFA,Infant mortality rate,2002,88.2193105837713,81.7548538385948,95.4673981259937
BFA,Infant mortality rate,2003,85.8096885185882,79.3140914409429,93.0320819458575
BFA,Infant mortality rate,2004,83.1454541942427,76.712946963067,90.303274948931
BFA,Infant mortality rate,2005,80.221080189711,73.8154366058991,87.306633606139
BFA,Infant mortality rate,2006,77.1385949744609,70.7515697728264,84.2070798320229
BFA,Infant mortality rate,2007,74.0972413940138,67.728962644585,81.04338580687
BFA,Infant mortality rate,2008,71.2257084226902,64.7953227103725,78.1491275501489
BFA,Infant mortality rate,2009,68.5329899447522,61.9405420577185,75.5768555301736
BFA,Infant mortality rate,2010,66.0421429829472,59.177384889008,73.4008114254216
BFA,Infant mortality rate,2011,63.8145228903608,56.5965434784021,71.5589936881293
BFA,Infant mortality rate,2012,61.7411722643981,54.0899697655253,70.1794059165541
BFA,Infant mortality rate,2013,59.8067635631243,51.6082474466753,69.1851343978874
BFA,Infant mortality rate,2014,57.9945161414645,49.1891980387485,68.6409037036136
BFA,Infant mortality rate,2015,56.3139461911337,46.7011627166314,68.3125268638041
BFA,Infant mortality rate,2016,54.7186884131725,44.2672375776906,67.9559293966748
BFA,Infant mortality rate,2017,53.132869058619,41.9248351119401,67.7386626304511
BFA,Infant mortality rate,2018,51.665189740907,39.5864206732605,67.9202466666333
BFA,Infant mortality rate,2019,50.245215491707,37.2481650424523,67.8839035380562
BFA,Infant mortality rate,2020,48.7387311538495,34.9594735804348,67.7603725134812
BFA,Infant mortality rate,2021,47.4025521782851,32.8842279959556,68.2261927050105
BFA,Infant mortality rate,2022,46.088009986122,30.8811139843584,68.7171817484572
BFA,Infant mortality rate,2023,44.8655239109236,28.9703478011613,69.0102867066889
BFA,Infant mortality rate,2024,43.6343403495522,27.2684235175669,69.3746702089135
BWA,Infant mortality rate,2000,39.4369500728144,28.905339659586,58.3602789556567
BWA,Infant mortality rate,2001,39.043178127902,28.6709673630519,54.8521818418522
BWA,Infant mortality rate,2002,39.6821242489482,29.803300536082,52.2343753020383
BWA,Infant mortality rate,2003,41.4491349162484,32.0676138030288,52.0086238535801
BWA,Infant mortality rate,2004,43.9670212607411,34.3343809632208,54.471019185736
BWA,Infant mortality rate,2005,43.6099696514276,33.5427139878117,55.3174519171433
BWA,Infant mortality rate,2006,45.7767565234159,34.1150988231581,61.0510819188255
BWA,Infant mortality rate,2007,50.3033812912445,36.4550611227445,70.2595186099682
BWA,Infant mortality rate,2008,52.801490294289,37.6331370074975,76.8219507171507
BWA,Infant mortality rate,2009,52.4902734303977,37.3658659754002,78.7462236353385
BWA,Infant mortality rate,2010,53.2765992331884,38.0928502831352,81.6268490962474
BWA,Infant mortality rate,2011,54.3214387618298,38.75594621,85.4577182756311
BWA,Infant mortality rate,2012,49.4985416133452,34.9709430558938,82.6752974252453
BWA,Infant mortality rate,2013,47.0004994082741,31.6764666792972,85.6021179939555
BWA,Infant mortality rate,2014,46.2100127018913,28.3293660449994,91.8619856854128
BWA,Infant mortality rate,2015,44.1593657443522,24.0638219585747,94.7148912780392
BWA,Infant mortality rate,2016,42.8471526285618,20.9186725214616,99.1196506310698
BWA,Infant mortality rate,2017,39.9999994126231,17.6315489378949,100.370883752305
BWA,Infant mortality rate,2018,38.6561375392187,15.5848085264513,102.263168477639
BWA,Infant mortality rate,2019,37.4033008520456,13.8552176396498,103.855019239635
BWA,Infant mortality rate,2020,36.5199542773067,12.6476129402643,105.938416256777
BWA,Infant mortality rate,2021,35.3555894445552,11.5514991140823,106.092510135612
BWA,Infant mortality rate,2022,34.3004071444756,10.6219016269429,105.848480134954
BWA,Infant mortality rate,2023,33.2928207763087,9.93025595414223,106.963592628811
BWA,Infant mortality rate,2024,32.1017157962863,9.24289776816066,106.92409684278
CAF,Infant mortality rate,2000,99.5952967175451,90.2295176384936,110.8210373606
CAF,Infant mortality rate,2001,97.9494758938826,88.6517428288571,109.216879191739
CAF,Infant mortality rate,2002,96.1397750594924,86.9045018631547,107.479767360426
CAF,Infant mortality rate,2003,94.3233235982021,84.9798674118721,105.582877903533
CAF,Infant mortality rate,2004,92.1767558173988,82.9288097412186,103.055303155454
CAF,Infant mortality rate,2005,89.9739970310673,80.7054200190919,100.617811203625
CAF,Infant mortality rate,2006,87.4202480606768,78.1112026615633,97.6760248961078
CAF,Infant mortality rate,2007,85.3257863255012,76.0555602168793,95.501861932655
CAF,Infant mortality rate,2008,83.3503858311429,74.0099297877943,93.6530790467843
CAF,Infant mortality rate,2009,239.852511476219,212.063663194923,270.865485674076
CAF,Infant mortality rate,2010,88.4940416062364,77.8339141326849,100.459554504399
CAF,Infant mortality rate,2011,77.7413352140025,68.0772853195694,88.6613345670112
CAF,Infant mortality rate,2012,76.1164516932148,66.2242752136054,87.2397111813618
CAF,Infant mortality rate,2013,81.0336726233861,70.1454301426568,93.2751295004689
CAF,Infant mortality rate,2014,101.670969909632,87.4634080657499,117.798842749566
CAF,Infant mortality rate,2015,71.9991322800414,61.513299456111,84.1363111921674
CAF,Infant mortality rate,2016,77.0649373506758,65.1770698482698,90.8485826290234
CAF,Infant mortality rate,2017,88.4033040304211,74.0071344256245,105.440832555512
CAF,Infant mortality rate,2018,73.9009174879692,61.2377261697868,89.1369513446126
CAF,Infant mortality rate,2019,128.933517246654,105.623987018594,157.606892635451
CAF,Infant mortality rate,2020,74.7211271527644,60.2232544965804,93.0960039943415
CAF,Infant mortality rate,2021,96.3094781602755,76.1637797226151,122.611257175326
CAF,Infant mortality rate,2022,206.777973417731,159.740913094752,269.384821056319
CAF,Infant mortality rate,2023,60.7576837563865,45.3888880408113,81.1628288742754
CAF,Infant mortality rate,2024,58.8258720471144,42.5121901092247,80.674305439698
CIV,Infant mortality rate,2000,91.3981184134166,84.874754633274,98.8984749516533
CIV,Infant mortality rate,2001,89.2958993073209,82.7612341379177,96.7423618559522
CIV,Infant mortality rate,2002,87.1212396511447,80.6849724770639,94.3942898848645
CIV,Infant mortality rate,2003,84.8142175055686,78.3753047187306,91.9686589200988
CIV,Infant mortality rate,2004,82.4957933775616,76.1742212157182,89.4802332832915
CIV,Infant mortality rate,2005,79.9507052198584,73.7898415672286,86.8344961191927
CIV,Infant mortality rate,2006,77.7929406892336,71.6907671708168,84.5172227659015
CIV,Infant mortality rate,2007,75.3134595388729,69.2606905637627,81.8591775804288
CIV,Infant mortality rate,2008,72.5836691151592,66.6341581625702,78.9917788591332
CIV,Infant mortality rate,2009,70.4822015311192,64.6028915815478,76.8316580405469
CIV,Infant mortality rate,2010,68.4269933216612,62.5299961373499,74.7218259708712
CIV,Infant mortality rate,2011,66.5504136761199,60.6030905717224,72.8260641111493
CIV,Infant mortality rate,2012,64.4987522256585,58.5700898000254,70.8131502277381
CIV,Infant mortality rate,2013,62.38016346922,56.4721892007702,68.6950805489634
CIV,Infant mortality rate,2014,60.3020882501272,54.4103838022886,66.6148426451523
CIV,Infant mortality rate,2015,58.3795056001332,52.5834804305303,64.8635490321332
CIV,Infant mortality rate,2016,56.8631421723117,50.9098483363977,63.4802290422668
CIV,Infant mortality rate,2017,55.1994226716678,49.0953605867073,62.1767917848161
CIV,Infant mortality rate,2018,53.5406444090107,47.0981537233503,60.8964349947877
CIV,Infant mortality rate,2019,51.7992796614361,44.9483667581995,59.7063441609378
CIV,Infant mortality rate,2020,50.2958428314739,43.0309369833219,58.8740568589157
CIV,Infant mortality rate,2021,48.7333218063977,41.1012482391399,57.9507888979415
CIV,Infant mortality rate,2022,47.4415679641996,39.1206875066427,57.3734211966311
CIV,Infant mortality rate,2023,46.1536584018152,37.2520520985481,57.1402213536711
CIV,Infant mortality rate,2024,44.8228161543207,35.1461638340447,56.8380814070577
CMR,Infant mortality rate,2000,83.0515497126306,76.7009633466459,90.2195092427764
CMR,Infant mortality rate,2001,81.164784650271,74.8260632037742,88.0749379800182
CMR,Infant mortality rate,2002,79.0975622023193,72.826001187193,85.936122918256
CMR,Infant mortality rate,2003,77.1715280209289,70.9153575918519,83.9601886555298
CMR,Infant mortality rate,2004,75.2315026925017,68.9728130536818,82.0085261690366
CMR,Infant mortality rate,2005,73.5023640096451,67.2002197823322,80.429905677191
CMR,Infant mortality rate,2006,71.5634561915058,65.2633896180805,78.5238489598117
CMR,Infant mortality rate,2007,69.9128526784995,63.7294086283685,76.7955827891065
CMR,Infant mortality rate,2008,67.9589201405095,61.9144880611908,74.7689174198385
CMR,Infant mortality rate,2009,66.3371462692253,60.3911929201923,73.0527470062449
CMR,Infant mortality rate,2010,63.8574159101695,58.0442441213129,70.3910012745786
CMR,Infant mortality rate,2011,61.8356405715935,56.1421097970601,68.227405728063
CMR,Infant mortality rate,2012,59.6289301241989,53.9704513273354,65.8591128171668
CMR,Infant mortality rate,2013,57.2849851678729,51.7110107870198,63.4380167941736
CMR,Infant mortality rate,2014,55.3149005766088,49.8468695492568,61.5665678618076
CMR,Infant mortality rate,2015,53.2523051535846,47.7823592514751,59.6068344480612
CMR,Infant mortality rate,2016,51.4200668871626,45.8166013529028,58.0869527608057
CMR,Infant mortality rate,2017,49.6384328309738,43.5657007373699,56.9368934646494
CMR,Infant mortality rate,2018,48.0227197941673,41.2566788427854,56.1969680183268
CMR,Infant mortality rate,2019,46.8858076090943,39.2389867349317,56.1249266431026
CMR,Infant mortality rate,2020,45.5499857836779,36.8860831867596,55.9614055688418
CMR,Infant mortality rate,2021,44.101449208555,34.6059625617888,55.7713056655435
CMR,Infant mortality rate,2022,42.7422837880036,32.5180611674683,55.4898204478023
CMR,Infant mortality rate,2023,41.3289679120009,30.3027692317053,55.3048215605763
CMR,Infant mortality rate,2024,40.2498923502596,28.603380483237,55.7427485896212
COD,Infant mortality rate,2000,104.988995409188,95.3181321782679,115.754369005727
COD,Infant mortality rate,2001,101.805152998718,92.3803698524476,112.357767192903
COD,Infant mortality rate,2002,98.4999592672315,89.3651350636381,108.673869373171
COD,Infant mortality rate,2003,95.1720513097126,86.3114940457731,104.815190735566
COD,Infant mortality rate,2004,91.6967831585576,83.1501739766018,101.058346567736
COD,Infant mortality rate,2005,71.9816807038081,65.1563907138822,79.4440884307066
COD,Infant mortality rate,2006,69.010638016867,62.3610751117182,76.4856079439465
COD,Infant mortality rate,2007,66.2229683170625,59.5941409597629,73.7475074680534
