isocode,country,rugged,rugged_popw,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,cont_africa
AGO,Angola,0.858,0.714,124670.0,-12.299,17.551,26.676,0.425,44.346,0.428,13.1587,1
BDI,Burundi,1.78,1.586,2568.0,-3.365,29.887,24.049,0.0,75.354,0.906,0.0,1
BEN,Benin,0.141,0.099,11062.0,9.65,2.339,74.973,0.0,97.489,0.367,10.2806,1
BFA,Burkina Faso,0.236,0.214,27360.0,12.274,-1.747,56.909,0.0,49.82,0.735,0.0,1
BWA,Botswana,0.181,0.478,56673.0,-22.189,23.814,15.249,1.455,0.0,0.764,0.0,1
CAF,Central African Republic,0.197,0.257,62300.0,6.574,20.487,10.967,0.0,97.382,1.081,0.0,1
CIV,Côte d'Ivoire,0.224,0.159,31800.0,7.623,-5.554,26.151,0.0,100.0,0.284,16.359,1
CMR,Cameroon,0.515,0.545,46540.0,5.697,12.743,27.829,0.0,94.12,0.389,10.9018,1
COD,Democratic Republic of the Congo,0.443,0.531,226705.0,-2.879,23.658,16.001,0.0,94.866,1.016,0.686405,1
COG,Congo,0.152,0.411,34150.0,-0.831,15.246,4.063,0.0,100.0,0.457,4.83001,1
COM,Comoros,3.328,2.172,186.1,-11.888,43.671,56.043,0.0,100.0,0.003,100.0,1
CPV,Cape Verde,2.367,1.399,403.0,15.942,-23.981,11.663,0.0,0.0,0.004,100.0,1
DJI,Djibouti,2.432,0.804,2318.0,11.735,42.58,0.0,0.0,0.0,0.038,100.0,1
ERI,Eritrea,2.481,1.911,10100.0,15.365,38.848,20.146,1.764,0.0,0.104,56.1576,1
ETH,Ethiopia,1.57,1.725,100000.0,8.622,39.636,46.128,1.008,29.455,0.466,2.26331,1
GAB,Gabon,0.218,0.582,25767.0,-0.623,11.784,11.978,0.0,100.0,0.195,28.1246,1
GHA,Ghana,0.228,0.25,22754.0,7.963,-1.208,65.738,0.0,100.0,0.283,19.3048,1
GIN,Guinea,0.74,1.03,24572.0,10.435,-10.939,17.761,0.0,100.0,0.263,14.9423,1
GMB,Gambia,0.353,0.384,1000.0,13.447,-15.388,81.699,0.0,89.355,0.053,77.3706,1
GNB,Guinea-Bissau,0.491,0.534,2812.0,12.013,-14.987,43.253,0.0,100.0,0.045,87.3195,1
GNQ,Equatorial Guinea,0.559,1.405,2805.0,1.703,10.335,6.829,0.0,100.0,0.069,69.3531,1
KEN,Kenya,0.669,0.559,56914.0,0.534,37.861,33.657,11.629,51.028,0.409,9.38789,1
LBR,Liberia,0.263,0.259,9632.0,6.448,-9.307,15.82,0.0,100.0,0.096,54.5897,1
LSO,Lesotho,6.202,4.165,3035.0,-29.58,28.254,54.695,0.0,0.0,0.246,0.0,1
MDG,Madagascar,1.169,0.738,58154.0,-19.379,46.7,50.804,0.0,65.224,0.087,61.0618,1
MLI,Mali,0.147,0.305,122019.0,17.355,-3.524,18.562,26.132,11.688,1.014,0.0,1
MOZ,Mozambique,0.612,0.438,78638.0,-17.264,35.549,55.384,0.0,87.365,0.21,30.756,1
MRT,Mauritania,0.115,0.147,103070.0,20.264,-10.336,2.042,74.857,0.0,0.511,5.9946,1
MUS,Mauritius,0.949,0.788,203.0,-20.131,57.879,52.217,0.0,100.0,0.006,100.0,1
MWI,Malawi,1.027,0.821,9408.0,-13.216,34.301,32.281,0.0,39.224,0.496,0.0,1
NAM,Namibia,0.913,0.423,82329.0,-22.14,17.219,25.173,13.861,0.0,0.305,17.6842,1
NER,Niger,0.178,0.222,126670.0,17.424,9.401,8.236,39.21,0.032,1.186,0.0,1
NGA,Nigeria,0.312,0.229,91077.0,9.585,8.092,56.263,0.0,73.44,0.491,9.17532,1
RWA,Rwanda,3.309,3.178,2467.0,-2.003,29.923,42.97,0.0,68.88,0.946,0.0,1
SDN,Sudan,0.442,0.292,237600.0,13.887,30.09,19.8,2.16,20.679,0.917,2.92113,1
SEN,Senegal,0.244,0.246,19253.0,14.361,-14.474,60.496,0.0,34.999,0.165,32.4713,1
SLE,Sierra Leone,0.498,0.574,7162.0,8.561,-11.791,7.546,0.0,100.0,0.1,51.5546,1
SOM,Somalia,0.65,0.45,62734.0,6.061,45.867,7.535,3.358,0.0,0.126,44.7664,1
STP,Sao Tome and Principe,2.347,0.876,96.0,0.446,6.727,88.013,0.0,100.0,0.004,100.0,1
SWZ,Swaziland,3.063,2.301,1720.0,-26.565,31.501,54.413,0.0,2.876,0.113,36.2172,1
SYC,Seychelles,4.885,1.802,46.0,-6.723,51.924,13.043,0.0,100.0,0.0,100.0,1
TCD,Chad,0.419,0.197,125920.0,15.365,18.667,19.262,21.72,13.413,1.254,0.0,1
TGO,Togo,0.28,0.247,5439.0,8.528,0.977,56.646,0.0,100.0,0.263,16.778,1
TZA,United Republic of Tanzania,0.677,0.541,88580.0,-6.266,34.826,39.711,0.0,88.294,0.42,10.2759,1
UGA,Uganda,0.913,0.779,19710.0,1.282,32.388,13.095,0.02,97.783,0.909,0.0,1
ZAF,South Africa,1.761,1.318,121447.0,-29.004,25.094,27.647,4.386,0.179,0.306,18.9404,1
ZMB,Zambia,0.533,0.506,74339.0,-13.458,27.794,23.114,0.0,17.132,0.9,0.0,1
ZWE,Zimbabwe,1.194,1.106,38685.0,-19.0,29.869,54.877,0.0,8.401,0.499,0.0,1
