iso3,year,gdp_pc_constant_2015_usd
AGO,2000,2172.46326718726
AGO,2001,2189.17352158048
AGO,2002,2404.97792071735
AGO,2003,2403.40415157242
AGO,2004,2583.32411461508
AGO,2005,2843.39663579921
AGO,2006,3065.05576244155
AGO,2007,3336.36332465491
AGO,2008,3559.19522512538
AGO,2009,3494.80724466468
AGO,2010,3540.79159568681
AGO,2011,3528.16824373698
AGO,2012,3682.35229323075
AGO,2013,3716.29718727597
AGO,2014,3746.81619978931
AGO,2015,3641.72893920253
AGO,2016,3505.59634681792
AGO,2017,3378.07588102598
AGO,2018,3246.87857140997
AGO,2019,3105.59971242672
AGO,2020,2847.24241578243
AGO,2021,2788.16737086685
AGO,2022,2798.01717317688
AGO,2023,2748.95196954248
AGO,2024,2798.59392792708
AGO,2025,2800.95785565447
BDI,2000,264.154407180223
BDI,2001,262.913885774384
BDI,2002,266.968141648342
BDI,2003,255.500823385612
BDI,2004,258.050009115333
BDI,2005,250.878933475935
BDI,2006,255.105582251925
BDI,2007,254.311725516331
BDI,2008,256.012461554496
BDI,2009,252.582019875886
BDI,2010,253.308577749924
BDI,2011,254.242110648215
BDI,2012,256.180393931874
BDI,2013,259.311117203355
BDI,2014,261.296721752002
BDI,2015,254.402585226788
BDI,2016,258.061970804063
BDI,2017,261.725839287239
BDI,2018,267.508692172687
BDI,2019,270.411005710809
BDI,2020,263.463876362597
BDI,2021,264.682651658422
BDI,2022,263.587550049119
BDI,2023,264.84330794512
BDI,2024,268.700857389911
BDI,2025,273.432977612477
BEN,2000,861.213292013209
BEN,2001,879.854463773645
BEN,2002,893.137100961634
BEN,2003,896.146763201736
BEN,2004,907.624431209378
BEN,2005,893.91536869992
BEN,2006,900.62053578735
BEN,2007,926.740113754071
BEN,2008,943.203380303862
BEN,2009,936.565651071554
BEN,2010,928.246655329144
BEN,2011,927.716412836707
BEN,2012,943.918771531001
BEN,2013,982.399206290516
BEN,2014,1014.4330062135
BEN,2015,1002.41886879614
BEN,2016,1006.03926633023
BEN,2017,1032.90471194182
BEN,2018,1071.50452156932
BEN,2019,1114.17304526443
BEN,2020,1126.65404122154
BEN,2021,1176.37727637273
BEN,2022,1218.49668929091
BEN,2023,1263.62158336368
BEN,2024,1324.78312597434
