iso3,out_anaemia_wra_fs_pct_first,out_anaemia_wra_fs_pct_last,out_anaemia_wra_fs_pct_flag,out_anaemia_wra_fs_pct_pct,out_anaemia_wra_fs_pct_score,out_anaemia_pregnant_pct_first,out_anaemia_pregnant_pct_last,out_anaemia_pregnant_pct_flag,out_anaemia_pregnant_pct_pct,out_anaemia_pregnant_pct_score,out_women_underweight_pct_first,out_women_underweight_pct_last,out_women_underweight_pct_flag,out_women_underweight_pct_pct,out_women_underweight_pct_score,out_women_overweight_pct_first,out_women_overweight_pct_last,out_women_overweight_pct_flag,out_women_overweight_pct_pct,out_women_overweight_pct_score,country,concern_equal_weights,rank_equal_weights,rank_median_random_weights,rank_p90_random_weights,share_top10_random_weights
BDI,32.9,39.0,2.0,0.5102040816326531,2.510204081632653,42.7,44.7,2.0,0.5102040816326531,2.510204081632653,17.2,18.0,2.0,0.8775510204081632,2.877551020408163,7.0,11.7,2.0,0.02040816326530612,2.020408163265306,Burundi,2.479591836734694,1.0,1.0,5.0,0.964
SOM,44.9,46.2,2.0,0.8163265306122449,2.816326530612245,50.8,52.8,2.0,0.8163265306122449,2.816326530612245,14.1,12.6,0.0,0.7959183673469388,0.7959183673469388,23.7,44.6,2.0,0.7244897959183674,2.7244897959183674,Somalia,2.288265306122449,2.0,2.0,10.0,0.924
SEN,57.4,43.1,1.0,0.6530612244897959,1.6530612244897958,62.7,50.9,1.0,0.7346938775510204,1.7346938775510203,16.0,17.9,2.0,0.8571428571428571,2.857142857142857,21.9,36.3,2.0,0.4489795918367347,2.4489795918367347,Senegal,2.1734693877551017,3.0,3.0,11.0,0.848
GMB,60.6,46.1,1.0,0.7959183673469388,1.7959183673469388,66.7,54.1,1.0,0.8775510204081632,1.8775510204081631,15.5,11.0,1.0,0.6938775510204082,1.693877551020408,17.5,42.8,2.0,0.6326530612244898,2.63265306122449,Gambia,2.0,4.0,6.0,8.0,0.976
NER,51.2,47.1,0.0,0.8979591836734694,0.8979591836734694,57.9,55.9,1.0,0.9387755102040817,1.9387755102040818,18.7,18.8,2.0,0.8979591836734694,2.8979591836734695,11.5,20.7,2.0,0.12244897959183673,2.122448979591837,Niger,1.9642857142857144,5.0,6.0,20.0,0.614
LSO,32.1,34.2,2.0,0.3469387755102041,2.3469387755102042,34.8,35.8,2.0,0.24489795918367346,2.2448979591836733,4.6,3.5,0.0,0.10204081632653061,0.10204081632653061,45.8,55.5,2.0,0.8571428571428571,2.857142857142857,Lesotho,1.8877551020408165,6.0,6.0,18.0,0.672
TCD,57.1,46.5,1.0,0.8367346938775511,1.836734693877551,61.2,51.2,1.0,0.7755102040816326,1.7755102040816326,21.4,16.1,1.0,0.8367346938775511,1.836734693877551,7.5,18.3,2.0,0.08163265306122448,2.0816326530612246,Chad,1.8826530612244898,7.0,8.0,16.0,0.642
BFA,55.8,44.3,1.0,0.7142857142857143,1.7142857142857144,57.8,49.5,1.0,0.6938775510204082,1.693877551020408,17.7,12.4,1.0,0.7755102040816326,1.7755102040816326,8.2,25.1,2.0,0.14285714285714285,2.142857142857143,Burkina Faso,1.8316326530612246,8.0,10.0,17.0,0.518
GAB,63.8,59.9,1.0,1.0,2.0,59.6,54.8,1.0,0.9183673469387755,1.9183673469387754,6.8,5.8,0.0,0.24489795918367346,0.24489795918367346,35.2,57.5,2.0,0.9183673469387755,2.9183673469387754,Gabon,1.7704081632653061,9.0,10.0,20.100000000000023,0.516
MRT,57.3,54.5,1.0,0.9591836734693877,1.9591836734693877,57.3,53.9,1.0,0.8571428571428571,1.8571428571428572,10.2,5.7,0.0,0.22448979591836735,0.22448979591836735,37.2,61.6,2.0,0.9387755102040817,2.938775510204082,Mauritania,1.7448979591836733,10.0,12.0,22.0,0.424
MLI,62.5,56.5,1.0,0.9795918367346939,1.9795918367346939,65.3,62.1,1.0,1.0,2.0,13.5,9.2,0.0,0.5918367346938775,0.5918367346938775,14.0,32.5,2.0,0.3673469387755102,2.36734693877551,Mali,1.7346938775510203,11.0,11.0,17.0,0.42
CIV,55.2,51.4,1.0,0.9387755102040817,1.9387755102040818,57.9,57.3,1.0,0.9591836734693877,1.9591836734693877,8.8,7.0,0.0,0.3877551020408163,0.3877551020408163,20.9,37.6,2.0,0.5102040816326531,2.510204081632653,Côte d'Ivoire,1.6989795918367347,12.0,12.5,19.100000000000023,0.32
MDG,36.6,37.2,2.0,0.42857142857142855,2.4285714285714284,41.9,39.3,0.0,0.3469387755102041,0.3469387755102041,22.0,19.4,1.0,0.9387755102040817,1.9387755102040818,6.5,16.3,2.0,0.061224489795918366,2.061224489795918,Madagascar,1.693877551020408,13.0,12.0,30.0,0.456
BEN,59.6,50.0,1.0,0.9183673469387755,1.9183673469387754,68.0,60.2,1.0,0.9795918367346939,1.9795918367346939,11.6,7.4,0.0,0.40816326530612246,0.40816326530612246,18.5,33.9,2.0,0.3877551020408163,2.387755102040816,Benin,1.673469387755102,14.0,14.0,21.0,0.174
MOZ,49.9,47.0,0.0,0.8775510204081632,0.8775510204081632,52.4,54.6,2.0,0.8979591836734694,2.8979591836734695,11.4,9.4,0.0,0.6122448979591837,0.6122448979591837,13.8,31.0,2.0,0.2857142857142857,2.2857142857142856,Mozambique,1.6683673469387754,15.0,16.0,25.0,0.334
