ranking,composite,positive_deviant_mean,under_performer_mean,n_positive,n_under,mannwhitney_p
context,feat_gd_stock_anaemia_policies,4.541666666666666,2.75,8,8,0.11491644639641256
context,feat_gd_logstock_anaemia_policies,1.6017957315291755,1.1776864991554379,8,8,0.10489510489510488
context,feat_gifna_anemia_programming_intensity,10.847222222222221,6.625,8,8,0.07399062720782135
context,feat_gd_stock_anaemia,5.388888888888889,3.680555555555556,8,8,0.1718517022196695
context,feat_gd_logstock_anaemia,1.7607202087621414,1.3607676903659744,8,8,0.13038073038073036
context,feat_gd_any_anaemia_policies,1.0,0.9722222222222222,8,8,0.38157390570502137
context,feat_gd_any_fortification,1.0,1.0,8,8,
context,feat_gifna_policy_count_active,15.666666666666666,11.041666666666668,8,8,0.13038073038073036
income,feat_gd_stock_anaemia_policies,5.319444444444445,2.763888888888889,8,8,0.10330797013136547
income,feat_gd_logstock_anaemia_policies,1.7211256971135276,1.2586464588787234,8,8,0.10489510489510488
income,feat_gifna_anemia_programming_intensity,11.027777777777779,8.166666666666666,8,8,0.17121984426743742
income,feat_gd_stock_anaemia,6.069444444444445,3.347222222222222,8,8,0.11438157270759665
income,feat_gd_logstock_anaemia,1.8229103634478507,1.3682589359800241,8,8,0.13038073038073036
income,feat_gd_any_anaemia_policies,1.0,0.9722222222222222,8,8,0.38157390570502137
income,feat_gd_any_fortification,1.0,1.0,8,8,
income,feat_gifna_policy_count_active,17.65277777777778,9.88888888888889,8,8,0.014763014763014764
