iso3,country,anaemia_2023,gdp_pc_2023,resid_income_recent,n_years_recent,resid_context_recent,n_years_context,resid_income_full,anaemia_mean_recent_all,country_effect_fe,feat_gd_stock_anaemia_policies_mean_recent,feat_gd_logstock_anaemia_policies_mean_recent,feat_gifna_anemia_programming_intensity_mean_recent,feat_gd_stock_anaemia_mean_recent,feat_gd_logstock_anaemia_mean_recent,feat_gd_any_anaemia_policies_mean_recent,feat_gd_any_fortification_mean_recent,feat_gifna_policy_count_active_mean_recent,rank_income,rank_context,rank_level_recent,first_anaemia_policy_year,gfdx_wheat_mandate_year,gfdx_wheat_mandate_status,subregion,group,ranking
NGA,Nigeria,37.9,2280.67777167162,2.9639365697097397,9.0,-9.648254135308903,9.0,5.786339556366833,39.62222222222223,4.007420701237837,7.0,2.0625107651234753,14.555555555555555,7.666666666666667,2.146282241217111,1.0,1.0,24.77777777777778,27.0,1.0,26.0,2004.0,2005.0,YES,WCA,positive deviant (below context-predicted level),context
NAM,Namibia,24.9,3973.49010579998,-14.113477202594943,9.0,-9.024747144546888,9.0,-15.746821008455091,21.555555555555557,-20.052279334295875,1.2222222222222223,0.7512858632004507,8.777777777777779,1.4444444444444444,0.873353895274685,1.0,1.0,12.222222222222221,3.0,2.0,3.0,2011.0,,NO,ESA,positive deviant (below context-predicted level),context
CMR,Cameroon,38.9,1468.17837007337,0.26237606143741726,9.0,-8.97270438523833,9.0,0.5960617429566458,37.766666666666666,0.6398001300327509,4.555555555555555,1.7107276662085196,9.555555555555555,5.666666666666667,1.8647603729996187,1.0,1.0,14.333333333333334,22.0,3.0,24.0,1996.0,2011.0,YES,WCA,positive deviant (below context-predicted level),context
GHA,Ghana,36.0,2091.81335596465,0.07583944808257018,9.0,-6.695549459819903,9.0,2.7174260404323562,37.08888888888889,2.6006792106357413,6.666666666666667,2.0331812600307573,14.88888888888889,7.111111111111111,2.0802717318947974,1.0,1.0,18.444444444444443,21.0,4.0,22.0,1995.0,2010.0,YES,WCA,positive deviant (below context-predicted level),context
LBR,Liberia,42.5,653.329188343162,1.8180765580764289,9.0,-6.381531350320668,9.0,3.4512336211297296,40.7,5.71137817063292,2.6666666666666665,1.290400336969297,7.888888888888889,3.5555555555555554,1.4615608970745357,1.0,1.0,10.333333333333334,24.0,5.0,29.0,2008.0,2017.0,YES,WCA,positive deviant (below context-predicted level),context
COD,Democratic Republic of the Congo,40.0,539.45912637913,0.7454021323231785,9.0,-6.081106272091193,9.0,4.421211059436808,40.099999999999994,8.191571850199141,2.111111111111111,1.0841450047064496,5.111111111111111,4.444444444444445,1.629175535644053,1.0,1.0,7.222222222222222,23.0,6.0,27.0,1994.0,,UNKNOWN,WCA,positive deviant (below context-predicted level),context
ETH,Ethiopia,23.1,842.446604881663,-18.156464371485708,9.0,-4.58390753007303,9.0,-19.989887952981544,20.533333333333335,-15.879952169717136,5.888888888888889,1.908822196045108,14.666666666666666,6.777777777777778,2.0250995613261185,1.0,1.0,20.666666666666668,2.0,7.0,2.0,2005.0,2022.0,YES,ESA,positive deviant (below context-predicted level),context
ZMB,Zambia,27.1,1330.85998216751,-11.329446317936101,9.0,-4.537059238275142,9.0,-10.7310137489467,26.366666666666667,-9.732375038655558,6.222222222222222,1.9732927599493475,11.333333333333334,6.444444444444445,2.005257434666212,1.0,1.0,17.333333333333332,6.0,8.0,8.0,1978.0,,NO,ESA,positive deviant (below context-predicted level),context
COM,Comoros,29.9,1383.64201759575,-9.604240379396025,9.0,4.378143407385072,9.0,-10.857447472178675,28.0,-10.875567621712918,1.1111111111111112,0.7062341845217657,1.7777777777777777,1.5555555555555556,0.9053185699915497,1.0,1.0,4.0,9.0,36.0,10.0,2012.0,,UNKNOWN,ESA,under-performer (above context-predicted level),context
SWZ,Eswatini,28.3,3790.16576788091,-10.447741459131656,9.0,4.438862032380628,9.0,-11.820837667212807,25.477777777777778,-14.891450836818247,3.0,1.3647815207407001,6.0,3.6666666666666665,1.4692267716841971,1.0,1.0,9.333333333333334,7.0,37.0,7.0,2008.0,,,ESA,under-performer (above context-predicted level),context
