group,iso3,country,stock_2005,stock_2010,stock_2015,stock_2020,stock_2023,first_anaemia_policy_year,wheat_mandate_year,wheat_mandate_status
positive deviant,NGA,Nigeria,2.0,3.0,6.0,5.0,9.0,2004.0,2005.0,YES
positive deviant,NAM,Namibia,0.0,0.0,2.0,1.0,1.0,2011.0,,NO
positive deviant,CMR,Cameroon,1.0,2.0,5.0,5.0,5.0,1996.0,2011.0,YES
positive deviant,GHA,Ghana,1.0,5.0,6.0,7.0,6.0,1995.0,2010.0,YES
positive deviant,LBR,Liberia,0.0,1.0,2.0,3.0,3.0,2008.0,2017.0,YES
positive deviant,COD,Democratic Republic of the Congo,1.0,1.0,2.0,2.0,4.0,1994.0,,UNKNOWN
positive deviant,ETH,Ethiopia,2.0,3.0,3.0,7.0,5.0,2005.0,2022.0,YES
positive deviant,ZMB,Zambia,2.0,5.0,7.0,7.0,6.0,1978.0,,NO
under-performer,COM,Comoros,0.0,0.0,1.0,1.0,2.0,2012.0,,UNKNOWN
under-performer,SWZ,Eswatini,0.0,2.0,3.0,3.0,2.0,2008.0,,
under-performer,MDG,Madagascar,1.0,1.0,2.0,0.0,2.0,2004.0,,UNKNOWN
under-performer,TZA,United Republic of Tanzania,0.0,3.0,6.0,5.0,2.0,2008.0,,
under-performer,MLI,Mali,0.0,1.0,4.0,3.0,3.0,2006.0,2010.0,YES
under-performer,GAB,Gabon,0.0,0.0,0.0,1.0,1.0,2017.0,,UNKNOWN
under-performer,BDI,Burundi,1.0,1.0,3.0,4.0,4.0,2003.0,2015.0,YES
under-performer,MOZ,Mozambique,0.0,0.0,5.0,4.0,4.0,2011.0,2016.0,YES
