spec,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within
A_main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.2093543294171165,0.21079325347435393,-0.6230439889517915,0.20433533011755844,0.32088557152678865,994,49,2003-2023,0.023316082311128694
A_main,out_anaemia_wra_fs_pct,log_gdp_pc_constant,2.072237136729363,1.7296126992036773,-1.3221926036298242,5.466666877088549,0.23118830501475918,994,49,2003-2023,0.023316082311128694
A_main_std_overall,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3_z,-0.4430402625788708,0.44608534549606915,-1.3184994704046507,0.432418945246909,0.3208855715267891,994,49,2003-2023,0.023316082311128694
A_main_std_overall,out_anaemia_wra_fs_pct,log_gdp_pc_constant_z,1.9477639386398684,1.625719944696885,-1.2427723775625366,5.138300254842274,0.2311883050147594,994,49,2003-2023,0.023316082311128694
lag2,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag2,-0.24820494094353007,0.20804331882769742,-0.656472303260055,0.16006242137299492,0.23314397159698697,1041,49,2002-2023,0.028429248222479497
lag2,out_anaemia_wra_fs_pct,log_gdp_pc_constant,2.0928383008578875,1.7044741920715598,-1.2520476894967376,5.437724291212513,0.21980152846469547,1041,49,2002-2023,0.028429248222479497
lag5,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag5,-0.15605092816941507,0.2104492582682124,-0.5691255294765785,0.2570236731377484,0.4585917591163735,900,49,2005-2023,0.017793183840642435
lag5,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.977359154415779,1.723790194850106,-1.4061355337308996,5.360853842562458,0.2516705875534515,900,49,2005-2023,0.017793183840642435
drop_thin,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.2140887335417788,0.21156966209991274,-0.6293111304862953,0.20113366340273772,0.3118522886156796,977,47,2003-2023,0.027703496806229078
drop_thin,out_anaemia_wra_fs_pct,log_gdp_pc_constant,2.459636685868922,1.8249049223026412,-1.1218852984905832,6.041158670228427,0.17805362821992166,977,47,2003-2023,0.027703496806229078
income_current_usd,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.15359562773073346,0.19339277781451325,-0.5331308605367335,0.2259396050752666,0.4272716864944295,1004,49,2003-2023,0.0077644824589770955
income_current_usd,out_anaemia_wra_fs_pct,log_gdp_pc_current,-0.07237412699258461,0.7959013856260015,-1.6343384417815587,1.4895901877963895,0.9275649214290769,1004,49,2003-2023,0.0077644824589770955
lead_test_only,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lead3,-0.3422764182857301,0.15941053847152142,-0.6550883459600036,-0.029464490611456506,0.032018640060579084,1088,49,2000-2022,0.04551200391343191
lead_test_only,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.6917318514494522,1.4061562331204704,-1.067574064653395,4.451037767552299,0.22922221844500434,1088,49,2000-2022,0.04551200391343191
lead_test_with_lag,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lead3,-0.27366212925753014,0.1350632688724002,-0.5387475302551296,-0.008576728259930722,0.04304922253366561,947,49,2003-2022,0.047048295803646
lead_test_with_lag,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.17232096583246836,0.19007587500199882,-0.545378274200123,0.20073634253518624,0.3648727343397882,947,49,2003-2022,0.047048295803646
lead_test_with_lag,out_anaemia_wra_fs_pct,log_gdp_pc_constant,2.288216124497764,1.7132692209978762,-1.0743758093175866,5.650808058313114,0.1820319660654548,947,49,2003-2022,0.047048295803646
trend_main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.017250546972206182,0.05544318272195045,-0.12591718829550247,0.0914160943510901,0.7556948092451614,994,49,2003-2023,0.0013991271513563719
trend_main,out_anaemia_wra_fs_pct,log_gdp_pc_constant,-0.28122706672703757,1.006411844710372,-2.2537580359738847,1.6913039025198093,0.7799107299490748,994,49,2003-2023,0.0013991271513563719
trend_lead,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lead3,-0.027872991105528544,0.0714416396260849,-0.1678960317691445,0.11215004955808741,0.6964252654259354,1088,49,2000-2022,0.0025446029255813407
trend_lead,out_anaemia_wra_fs_pct,log_gdp_pc_constant,0.3406251699533094,0.9012618895701341,-1.4258156742426689,2.1070660141492876,0.7054733109405209,1088,49,2000-2022,0.0025446029255813407
fd,d1_out_anaemia_wra_fs_pct,d1_feat_gd_stock_anaemia_policies_lag3,-0.012858370966062526,0.01576348830742233,-0.04375424031932855,0.018037498387203497,0.41466834383036644,945,49,2004-2023,0.5503390830810708
fd,d1_out_anaemia_wra_fs_pct,d1_log_gdp_pc_constant,0.0266851245436108,0.3385384284656067,-0.6368380026317678,0.6902082517189895,0.9371722113503224,945,49,2004-2023,0.5503390830810708
longdiff5,d5_out_anaemia_wra_fs_pct,d5_feat_gd_stock_anaemia_policies_lag3,-0.05778608933461966,0.0904319332206308,-0.23502942149938727,0.11945724283014797,0.5228223275711588,749,49,2008-2023,0.47305072782455193
longdiff5,d5_out_anaemia_wra_fs_pct,d5_log_gdp_pc_constant,0.40638177526459934,1.0732338027350403,-1.697117825087045,2.5098813756162435,0.7049465446569421,749,49,2008-2023,0.47305072782455193
ldv,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.02483658319718056,0.017442147181187233,-0.05902256348535436,0.009349397090993243,0.15446363993504786,994,49,2003-2023,0.9992593836939819
ldv,out_anaemia_wra_fs_pct,out_anaemia_wra_fs_pct_l1,0.9872067587995543,0.002691436496153597,0.9819316402004166,0.9924818773986921,0.0,994,49,2003-2023,0.9992593836939819
ldv,out_anaemia_wra_fs_pct,log_gdp_pc_constant,0.01560003204169999,0.04345794078000064,-0.06957596672937577,0.10077603081277575,0.7196186503410262,994,49,2003-2023,0.9992593836939819
ctx_all,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.051987920230001414,0.16161675875474557,-0.36919737665044505,0.2652215361904422,0.7477777920982276,931,46,2003-2023,0.10507564463594021
ctx_all,out_anaemia_wra_fs_pct,log_gdp_pc_constant,1.3048958355042168,1.4662746229932768,-1.572999871020902,4.182791542029336,0.3737472011504479,931,46,2003-2023,0.10507564463594021
ctx_all,out_anaemia_wra_fs_pct,feat_malaria_incidence_per1000,0.011067171439327308,0.004567434191565619,0.002102548411951219,0.020031794466703397,0.015595875162821127,931,46,2003-2023,0.10507564463594021
ctx_all,out_anaemia_wra_fs_pct,feat_fertility_rate,-0.18019066653249285,0.9741041212339903,-2.0920904049899995,1.7317090719250137,0.8532876229391391,931,46,2003-2023,0.10507564463594021
ctx_all,out_anaemia_wra_fs_pct,feat_urban_pct,-0.03384258201368577,0.08861743916690663,-0.20777435693663,0.14008919290925848,0.7026333823955047,931,46,2003-2023,0.10507564463594021
ctx_malaria,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03684562820925596,0.161093344768689,-0.35302673238266014,0.2793354759641482,0.8191390699475161,931,46,2003-2023,0.10290061831575481
