variant,block,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within,note,p_bh,p_wcb
A_main,main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.2093543294171165,0.21079325347435393,-0.6230439889517915,0.20433533011755844,0.32088557152678865,994,49,2003-2023,0.023316082311128694,"main spec: anaemia-cluster policies active (GIFNA policies file, dated) lagged 3 y + log GDP pc (constant 2015 US$); country + year FE; SE clustered by country",,0.326
lag2,main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag2,-0.24820494094353007,0.20804331882769742,-0.656472303260055,0.16006242137299492,0.23314397159698697,1041,49,2002-2023,0.028429248222479497,policy lagged 2 years instead of 3,,0.24
lag5,main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag5,-0.15605092816941507,0.2104492582682124,-0.5691255294765785,0.2570236731377484,0.4585917591163735,900,49,2005-2023,0.017793183840642435,policy lagged 5 years instead of 3,,0.456
drop_thin,main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.2140887335417788,0.21156966209991274,-0.6293111304862953,0.20113366340273772,0.3118522886156796,977,47,2003-2023,0.027703496806229078,"without SSD, ERI (thinnest income coverage)",,0.332
income_current_usd,main,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.15359562773073346,0.19339277781451325,-0.5331308605367335,0.2259396050752666,0.4272716864944295,1004,49,2003-2023,0.0077644824589770955,log GDP pc in current US$ (team file) instead of constant 2015 US$,,0.42
lead_test_only,lead_test,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lead3,-0.3422764182857301,0.15941053847152142,-0.6550883459600036,-0.029464490611456506,0.032018640060579084,1088,49,2000-2022,0.04551200391343191,policy 3 years LATER instead of earlier — a lead that predicts today's anaemia signals pre-existing trend or targeting,,0.04
lead_test_with_lag,lead_test,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lead3,-0.27366212925753014,0.1350632688724002,-0.5387475302551296,-0.008576728259930722,0.04304922253366561,947,49,2003-2022,0.047048295803646,lead and lag together — the lead is the reported term,,0.069
trend_main,trend,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.017250546972206182,0.05544318272195045,-0.12591718829550247,0.0914160943510901,0.7556948092451614,994,49,2003-2023,0.0013991271513563719,main spec plus a linear trend per country (absorbs slowly phasing-in effects too — Wolfers 2006),,
trend_lead,trend,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lead3,-0.027872991105528544,0.0714416396260849,-0.1678960317691445,0.11215004955808741,0.6964252654259354,1088,49,2000-2022,0.0025446029255813407,lead test plus a linear trend per country,,
fd,bracket,d1_out_anaemia_wra_fs_pct,d1_feat_gd_stock_anaemia_policies_lag3,-0.012858370966062526,0.01576348830742233,-0.04375424031932855,0.018037498387203497,0.41466834383036644,945,49,2004-2023,0.5503390830810708,"first differences (Δ outcome on Δ lagged policy and Δ log income, year effects)",,0.395
