control,from_year,model,outcome,term,coef,se,ci_low,ci_high,p,n_obs,n_countries,years,r2_within
feat_fies_severe_total_pct_3yr,2015,base_same_rows,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.031000747246479513,0.1581481500393626,-0.28059644296632935,0.34259793745928835,0.8447641368023986,280,39,2015-2023,0.01390241685770821
feat_fies_severe_total_pct_3yr,2015,with_control,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.020599744574192308,0.15196200657378908,-0.27881582530878035,0.3200153144571649,0.8922888646206486,280,39,2015-2023,0.038183442162925574
feat_fies_gap_fm_3yr,2015,base_same_rows,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.031000747246479513,0.1581481500393626,-0.28059644296632935,0.34259793745928835,0.8447641368023986,280,39,2015-2023,0.01390241685770821
feat_fies_gap_fm_3yr,2015,with_control,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.05790847383647217,0.15139902288485688,-0.24039783139636173,0.3562147790693061,0.7024518334928826,280,39,2015-2023,0.07073892862335196
feat_pua_pct,2017,base_same_rows,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.0016627954401464055,0.12936960489241212,-0.25310138958955347,0.2564269804698463,0.9897550341348387,308,44,2017-2023,0.003717625039208916
feat_pua_pct,2017,with_control,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.00043162289032057713,0.12691672414139943,-0.2503700692326993,0.24950682345205813,0.9972891901320273,308,44,2017-2023,0.004139861007595891
feat_hospital_beds_per1000,2000,base_same_rows,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.3998005986050794,0.2892126489187837,-0.9697124565740096,0.1701112593638508,0.16822695217038253,295,48,2003-2023,0.10002011809563327
feat_hospital_beds_per1000,2000,with_control,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.41691727889262176,0.3265430327408401,-1.0604065584833293,0.2265720006980858,0.20300876188627415,295,48,2003-2023,0.10643684675460541
feat_health_exp_pc_usd,2000,base_same_rows,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.19172679595388298,0.21796623057233405,-0.6195086865693087,0.23605509466154279,0.3793019006942937,969,48,2003-2023,0.02003190247497111
feat_health_exp_pc_usd,2000,with_control,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,-0.03902677202449719,0.18140646887210027,-0.39505677960321056,0.3170032355542162,0.8297113819946427,969,48,2003-2023,0.10542692925929453
feat_sth_pc_coverage_sac_pct,2005,base_same_rows,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.0372343066024655,0.176360542394221,-0.30900084526697913,0.38346945847191016,0.8328479083980476,796,47,2005-2023,0.010542778967184696
feat_sth_pc_coverage_sac_pct,2005,with_control,out_anaemia_wra_fs_pct,feat_gd_stock_anaemia_policies_lag3,0.037082395517065825,0.17198647612145032,-0.30056625818071137,0.374731049214843,0.8293503789047079,796,47,2005-2023,0.02240102903486363
