iso3,country,anaemia_2023,gdp_pc_2023,resid_income_recent,n_years_recent,resid_context_recent,n_years_context,resid_income_full,anaemia_mean_recent_all,country_effect_fe,feat_gd_stock_anaemia_policies_mean_recent,feat_gd_logstock_anaemia_policies_mean_recent,feat_gifna_anemia_programming_intensity_mean_recent,feat_gd_stock_anaemia_mean_recent,feat_gd_logstock_anaemia_mean_recent,feat_gd_any_anaemia_policies_mean_recent,feat_gd_any_fortification_mean_recent,feat_gifna_policy_count_active_mean_recent,rank_income,rank_context,rank_level_recent,first_anaemia_policy_year,gfdx_wheat_mandate_year,gfdx_wheat_mandate_status,subregion
NGA,Nigeria,37.9,2280.67777167162,2.9639365697097397,9.0,-9.648254135308903,9.0,5.786339556366833,39.62222222222223,4.007420701237837,7.0,2.0625107651234753,14.555555555555555,7.666666666666667,2.146282241217111,1.0,1.0,24.77777777777778,27.0,1.0,26.0,2004.0,2005.0,YES,WCA
NAM,Namibia,24.9,3973.49010579998,-14.113477202594943,9.0,-9.024747144546888,9.0,-15.746821008455091,21.555555555555557,-20.052279334295875,1.2222222222222223,0.7512858632004507,8.777777777777779,1.4444444444444444,0.873353895274685,1.0,1.0,12.222222222222221,3.0,2.0,3.0,2011.0,,NO,ESA
CMR,Cameroon,38.9,1468.17837007337,0.26237606143741726,9.0,-8.97270438523833,9.0,0.5960617429566458,37.766666666666666,0.6398001300327509,4.555555555555555,1.7107276662085196,9.555555555555555,5.666666666666667,1.8647603729996187,1.0,1.0,14.333333333333334,22.0,3.0,24.0,1996.0,2011.0,YES,WCA
GHA,Ghana,36.0,2091.81335596465,0.07583944808257018,9.0,-6.695549459819903,9.0,2.7174260404323562,37.08888888888889,2.6006792106357413,6.666666666666667,2.0331812600307573,14.88888888888889,7.111111111111111,2.0802717318947974,1.0,1.0,18.444444444444443,21.0,4.0,22.0,1995.0,2010.0,YES,WCA
LBR,Liberia,42.5,653.329188343162,1.8180765580764289,9.0,-6.381531350320668,9.0,3.4512336211297296,40.7,5.71137817063292,2.6666666666666665,1.290400336969297,7.888888888888889,3.5555555555555554,1.4615608970745357,1.0,1.0,10.333333333333334,24.0,5.0,29.0,2008.0,2017.0,YES,WCA
COD,Democratic Republic of the Congo,40.0,539.45912637913,0.7454021323231785,9.0,-6.081106272091193,9.0,4.421211059436808,40.099999999999994,8.191571850199141,2.111111111111111,1.0841450047064496,5.111111111111111,4.444444444444445,1.629175535644053,1.0,1.0,7.222222222222222,23.0,6.0,27.0,1994.0,,UNKNOWN,WCA
ETH,Ethiopia,23.1,842.446604881663,-18.156464371485708,9.0,-4.58390753007303,9.0,-19.989887952981544,20.533333333333335,-15.879952169717136,5.888888888888889,1.908822196045108,14.666666666666666,6.777777777777778,2.0250995613261185,1.0,1.0,20.666666666666668,2.0,7.0,2.0,2005.0,2022.0,YES,ESA
ZMB,Zambia,27.1,1330.85998216751,-11.329446317936101,9.0,-4.537059238275142,9.0,-10.7310137489467,26.366666666666667,-9.732375038655558,6.222222222222222,1.9732927599493475,11.333333333333334,6.444444444444445,2.005257434666212,1.0,1.0,17.333333333333332,6.0,8.0,8.0,1978.0,,NO,ESA
TGO,Togo,41.5,1011.2308927823,2.582292975628033,9.0,-4.0332227516871155,9.0,3.2335909776930833,40.91111111111111,5.256834316517444,2.111111111111111,1.1305769633849743,7.333333333333333,2.7777777777777777,1.2846096701760734,1.0,1.0,10.88888888888889,26.0,9.0,30.0,2009.0,2012.0,YES,WCA
SEN,Senegal,43.1,1458.9664233275,6.967281879052335,9.0,-3.520658893616883,9.0,10.967658035623472,44.58888888888889,11.192777813267023,4.222222222222222,1.645418036774951,10.777777777777779,6.333333333333333,1.9575819236534384,1.0,1.0,19.11111111111111,38.0,10.0,36.5,1997.0,2009.0,YES,WCA
