exposure,lag,income,controls,estimator,coef_per_within_sd,ci_low,ci_high,p,n_obs,sd_within,spec_id,excludes_zero
feat_gifna_anemia_programming_intensity,2,constant,none,fe,-0.6244053129043067,-1.4033593572193903,0.15454873141077677,0.11616024967522415,1041,3.3503157141701414,1,False
feat_gifna_anemia_programming_intensity,3,constant,none,fe,-0.5884267214623229,-1.363452917245917,0.18659947432127125,0.13673177050437904,994,3.328828211603318,2,False
feat_gifna_anemia_programming_intensity,2,current,none,fe,-0.5352320571590572,-1.2876488764190999,0.21718476210098542,0.16325078796720383,1052,3.351604051626989,3,False
feat_gifna_anemia_programming_intensity,3,current,none,fe,-0.507267388286676,-1.2589224523939218,0.2443876758205699,0.18593000360838008,1004,3.3271699178555627,4,False
feat_gifna_anemia_programming_intensity,5,constant,none,fe,-0.5022679610370165,-1.2398489918773337,0.23531306980330055,0.18198444758402432,900,3.2171405308352288,5,False
feat_gifna_anemia_programming_intensity,5,current,none,fe,-0.4561099128600087,-1.1720459426915835,0.25982611697156616,0.21179031597412334,908,3.2109813360822654,6,False
feat_gd_stock_anaemia_policies,2,constant,none,fe,-0.4163396567334758,-1.1003130714040699,0.26763375793711813,0.23285193871590537,1041,1.6774027751050342,7,False
feat_gd_logstock_anaemia_policies,2,constant,none,fe,-0.41015865438494786,-1.007200858015099,0.18688354924520337,0.17815273023905287,1041,0.5576785100415028,8,False
feat_gd_stock_anaemia_policies,3,constant,none,fe,-0.34672073395651215,-1.0309516051877035,0.3375101372746792,0.32062528053399797,994,1.6561431278819485,9,False
feat_gd_logstock_anaemia_policies,3,constant,none,fe,-0.3147652374014648,-0.9043025559442914,0.2747720811413618,0.29534768076667905,994,0.5563901091064031,10,False
feat_gd_stock_anaemia_policies,2,current,none,fe,-0.3099008285268051,-0.9294943137072579,0.30969265665364765,0.3269325041809369,1052,1.6748623564807652,11,False
feat_gd_any_anaemia_policies,2,constant,none,fe_trend,-0.2983491364844734,-0.47862065780543117,-0.11807761516351567,0.001179722559760594,1041,0.34957516674214323,12,True
feat_gd_any_anaemia_policies,2,current,none,fe_trend,-0.29535720453770736,-0.4769556170232729,-0.11375879205214182,0.0014338678493188424,1052,0.3527420483664427,13,True
feat_gd_logstock_anaemia_policies,2,current,none,fe,-0.2919874600140231,-0.8507124810077739,0.26673756097972773,0.30570807781602116,1052,0.5591756640678637,14,False
feat_gd_logstock_anaemia,2,constant,none,fe,-0.2730800821925852,-0.7947812473580123,0.2486210829728418,0.3049261621812641,1041,0.6205384782762062,15,False
feat_gd_stock_anaemia,2,constant,none,fe,-0.26904594141901683,-0.8233156985634275,0.2852238157253938,0.34141224736940023,1041,2.332978452866306,16,False
feat_gd_any_anaemia_policies,2,current,context,fe_trend,-0.2563766850925678,-0.42925144171002594,-0.08350192847510961,0.0036530374596930116,986,0.35062078245194955,17,True
feat_gd_any_anaemia_policies,2,constant,context,fe_trend,-0.25529622176383227,-0.4289888394119119,-0.08160360411575265,0.003966838691325562,975,0.3471933387692218,18,True
feat_gd_any_anaemia_policies,3,current,none,fe_trend,-0.2547639561728321,-0.42727646569167904,-0.08225144665398511,0.0037982798555552134,1004,0.3533603043975419,19,True
feat_gd_stock_anaemia_policies,3,current,none,fe,-0.2538301919132131,-0.8802316607539539,0.3725712769275276,0.42706972768252505,1004,1.6525873533211561,20,False
feat_gd_any_anaemia_policies,3,constant,none,fe_trend,-0.2516050276929569,-0.4226230984176677,-0.08058695696824614,0.003932374847185189,994,0.35118492052817,21,True
feat_gd_stock_anaemia_policies,5,constant,none,fe,-0.24495431934355041,-0.8924162473836481,0.4025076086965472,0.4583822585601056,900,1.5697075449485447,22,False
feat_gd_any_anaemia_policies,3,current,context,fe_trend,-0.21248452770247592,-0.3842112783920935,-0.04075777701285835,0.01530233470974128,941,0.35100088471962787,23,True
feat_gd_logstock_anaemia_policies,3,current,none,fe,-0.20968625906320226,-0.7625491784100227,0.34317666028361815,0.4572622919418735,1004,0.5569616530575361,24,False
