,Country
92,Angola
414,Benin
506,Botswana
598,Burkina Faso
621,Burundi
644,Cabo Verde
690,Cameroon
736,Central African Republic
759,Chad
851,Comoros
874,Congo
1035,Cô´te d'Ivoire
1081,Democratic Republic of the Congo
1127,Djibouti
1265,Equatorial Guinea
1288,Eritrea
1334,Eswatini
1357,Ethiopia
1449,Gabon
1472,Gambia
1541,Ghana
1633,Guinea
1656,Guinea-Bissau
2047,Kenya
2208,Lesotho
2231,Liberia
2323,Madagascar
2346,Malawi
2415,Mali
2484,Mauritania
2507,Mauritius
2645,Mozambique
2691,Namibia
2829,Niger
2852,Nigeria
3289,Rwanda
3404,Sao Tome and Principe
3450,Senegal
3496,Seychelles
3519,Sierra Leone
3634,Somalia
3657,South Africa
3680,South Sudan
3772,Sudan
3956,Togo
4140,Uganda
4232,United Republic of Tanzania
4416,Zambia
4439,Zimbabwe
